nr,greek_transcription,greek_phonetic,en_translation,en_importance_reason,en_audio_url,de_translation,de_importance_reason,de_audio_url,es_translation,es_importance_reason,es_audio_url,ru_translation,ru_importance_reason,ru_audio_url,level,difficulty,frequency
1,Γεια σου,yá su,Hello,Essential greeting used daily in informal settings,,Hallo,Grundlegende Begrüßung für informelle Situationen,,Hola,Saludo básico usado diariamente en contextos informales,,Привет,Основное приветствие для неформальных ситуаций,,A1,easy,5
2,Ευχαριστώ,ef-cha-ri-STÓ,Thank you,Expression of gratitude essential in any situation,,Danke,Ausdruck der Dankbarkeit notwendig in jeder Situation,,Gracias,Expresión de gratitud esencial en cualquier situación,,Спасибо,Выражение благодарности необходимое в любой ситуации,,A1,easy,5
3,Νερό,ne-RÓ,Water,Basic word for daily needs especially in hot climate,,Wasser,Grundlegendes Wort für tägliche Bedürfnisse besonders im heißen Klima,,Agua,Palabra básica para necesidades diarias especialmente en clima caluroso,,Вода,Базовое слово для повседневных нужд особенно в жарком климате,,A1,easy,5
4,Ναι,ne,Yes,Core affirmation word used constantly in conversations,,Ja,Grundwort für Zustimmung ständig in Gesprächen verwendet,,Sí,Palabra básica de afirmación usada constantemente en conversaciones,,Да,Основное слово согласия используется постоянно в разговорах,,A1,easy,5
5,Όχι,ó-chi,No,Most common negation essential for basic communication,,Nein,Häufigste Verneinung notwendig für grundlegende Kommunikation,,No,Negación más común esencial para comunicación básica,,Нет,Самое частое отрицание необходимое для базового общения,,A1,easy,5
6,Παρακαλώ,pa-ra-ka-LÓ,Please,Polite request word fundamental for courtesy,,Bitte,Höfliches Bitte-Wort grundlegend für Höflichkeit,,Por favor,Palabra de cortesía fundamental para solicitudes educadas,,Пожалуйста,Вежливое слово для просьбы основа вежливости,,A1,easy,5
7,Καλημέρα,ka-li-MÉ-ra,Good morning,Standard morning greeting used until noon,,Guten Morgen,Standardbegrüßung am Morgen bis Mittag verwendet,,Buenos días,Saludo matutino estándar usado hasta el mediodía,,Доброе утро,Стандартное утреннее приветствие используется до полудня,,A1,easy,5
8,Καλησπέρα,ka-li-SPÉ-ra,Good evening,Evening greeting used from afternoon onwards,,Guten Abend,Abendbegrüßung ab Nachmittag verwendet,,Buenas tardes,Saludo vespertino usado desde la tarde,,Добрый вечер,Вечернее приветствие используется с полудня,,A1,easy,4
9,Καληνύχτα,ka-li-NÍ-chta,Good night,Farewell greeting used when leaving at night,,Gute Nacht,Abschiedsgruß beim Gehen in der Nacht verwendet,,Buenas noches,Saludo de despedida usado al irse por la noche,,Спокойной ночи,Прощальное приветствие при уходе ночью,,A1,easy,4
10,Αντίο,a-dí-o,Goodbye,Basic farewell used when parting,,Auf Wiedersehen,Grundlegender Abschied beim Verabschieden verwendet,,Adiós,Despedida básica usada al separarse,,До свидания,Основное прощание при расставании,,A1,easy,5
