nr,greek_transcription,greek_phonetic,en_translation,en_importance_reason,en_audio_url,de_translation,de_importance_reason,de_audio_url,es_translation,es_importance_reason,es_audio_url,ru_translation,ru_importance_reason,ru_audio_url,level,difficulty,frequency
1,Συζήτηση,si-ZÍ-ti-si,Discussion,Conversation term important for expressing opinions,,Diskussion,Gesprächs-Begriff wichtig zum Ausdruck von Meinungen,,Discusión,Término de conversación importante para expresar opiniones,,Обсуждение,Термин разговора важный для выражения мнений,,B1,medium,4
2,Γνώμη,GNÓ-mi,Opinion,Viewpoint term essential for debates,,Meinung,Standpunkt-Begriff notwendig für Debatten,,Opinión,Término de punto de vista esencial para debates,,Мнение,Термин точки зрения необходимый для дебатов,,B1,medium,4
3,Συμφωνώ,sim-fo-NÓ,I agree,Agreement expression used in discussions,,Ich stimme zu,Zustimmungs-Ausdruck in Diskussionen verwendet,,Estoy de acuerdo,Expresión de acuerdo usada en discusiones,,Согласен,Выражение согласия используется в обсуждениях,,B1,easy,5
4,Διαφωνώ,dhi-a-fo-NÓ,I disagree,Disagreement expression important for debates,,Ich stimme nicht zu,Nicht-Zustimmungs-Ausdruck wichtig für Debatten,,No estoy de acuerdo,Expresión de desacuerdo importante para debates,,Не согласен,Выражение несогласия важное для дебатов,,B1,easy,4
5,Περιγραφή,pe-ri-ghra-FÍ,Description,Explanation term useful for detailed accounts,,Beschreibung,Erklärungs-Begriff nützlich für detaillierte Berichte,,Descripción,Término de explicación útil para relatos detallados,,Описание,Термин объяснения полезный для подробных отчетов,,B1,medium,3
6,Ανάλυση,a-NÁ-li-si,Analysis,Examination term necessary for critical thinking,,Analyse,Untersuchungs-Begriff notwendig für kritisches Denken,,Análisis,Término de examen necesario para pensamiento crítico,,Анализ,Термин исследования необходимый для критического мышления,,B1,hard,3
7,Επιχείρημα,e-pi-CHÍ-ri-ma,Argument,Reasoning term important for persuasion,,Argument,Argumentations-Begriff wichtig für Überzeugung,,Argumento,Término de razonamiento importante para persuasión,,Аргумент,Термин рассуждения важный для убеждения,,B1,medium,3
8,Αποτέλεσμα,a-po-TÉ-le-sma,Result,Outcome term essential for conclusions,,Ergebnis,Ergebnis-Begriff notwendig für Schlussfolgerungen,,Resultado,Término de resultado esencial para conclusiones,,Результат,Термин итога необходимый для выводов,,B1,medium,4
9,Πρόοδος,PRÓ-o-dhos,Progress,Advancement term used in development contexts,,Fortschritt,Fortschritts-Begriff in Entwicklungs-Kontexten verwendet,,Progreso,Término de avance usado en contextos de desarrollo,,Прогресс,Термин развития используется в контекстах развития,,B1,medium,3
10,Ανάπτυξη,a-NÁ-ptik-si,Development,Growth term important for business and education,,Entwicklung,Wachstums-Begriff wichtig für Geschäft und Bildung,,Desarrollo,Término de crecimiento importante para negocios y educación,,Развитие,Термин роста важный для бизнеса и образования,,B1,hard,3
11,Αξιολόγηση,ak-si-o-LÓ-yi-si,Evaluation,Assessment term necessary for reviews,,Bewertung,Beurteilungs-Begriff notwendig für Bewertungen,,Evaluación,Término de valoración necesario para revisiones,,Оценка,Термин оценивания необходимый для обзоров,,B1,hard,2
12,Σύγκριση,SÍ-gri-si,Comparison,Contrast term useful for analysis,,Vergleich,Vergleichs-Begriff nützlich für Analyse,,Comparación,Término de contraste útil para análisis,,Сравнение,Термин сопоставления полезный для анализа,,B1,medium,3
13,Πρόταση,PRÓ-ta-si,Proposal,Suggestion term important for negotiations,,Vorschlag,Vorschlags-Begriff wichtig für Verhandlungen,,Propuesta,Término de sugerencia importante para negociaciones,,Предложение,Термин предложения важный для переговоров,,B1,medium,4
14,Απόφαση,a-PÓ-fa-si,Decision,Choice term essential for conclusions,,Entscheidung,Entscheidungs-Begriff notwendig für Schlussfolgerungen,,Decisión,Término de elección esencial para conclusiones,,Решение,Термин выбора необходимый для выводов,,B1,medium,4
15,Πείρα,PÍ-ra,Experience,Background term relevant for job applications,,Erfahrung,Hintergrund-Begriff relevant für Bewerbungen,,Experiencia,Término de antecedentes relevante para solicitudes de empleo,,Опыт,Термин предыстории относящийся к заявкам на работу,,B1,medium,4
16,Δεξιότητα,dhe-ksi-Ó-ti-ta,Skill,Ability term important for career development,,Fähigkeit,Fähigkeits-Begriff wichtig für Karriere-Entwicklung,,Habilidad,Término de capacidad importante para desarrollo profesional,,Навык,Термин способности важный для карьерного развития,,B1,medium,4
17,Επικοινωνία,e-pi-ki-no-NÍ-a,Communication,Interaction term fundamental for relationships,,Kommunikation,Interaktions-Begriff grundlegend für Beziehungen,,Comunicación,Término de interacción fundamental para relaciones,,Коммуникация,Термин взаимодействия фундаментальный для отношений,,B1,medium,5
18,Κατανόηση,ka-ta-NÓ-i-si,Understanding,Comprehension term essential for learning,,Verständnis,Verständnis-Begriff notwendig zum Lernen,,Comprensión,Término de entendimiento esencial para aprendizaje,,Понимание,Термин понимания необходимый для обучения,,B1,hard,4
19,Σημασία,si-ma-SÍ-a,Meaning,Significance term used in interpretation,,Bedeutung,Bedeutungs-Begriff bei Interpretation verwendet,,Significado,Término de importancia usado en interpretación,,Значение,Термин значимости используется в интерпретации,,B1,medium,4
20,Πλαίσιο,PLÉ-si-o,Context,Framework term important for understanding,,Kontext,Rahmen-Begriff wichtig für Verständnis,,Contexto,Término de marco importante para comprensión,,Контекст,Термин рамок важный для понимания,,B1,hard,3
21,Επίδραση,e-PÍ-dhra-si,Influence,Impact term relevant for cause and effect,,Einfluss,Einfluss-Begriff relevant für Ursache und Wirkung,,Influencia,Término de impacto relevante para causa y efecto,,Влияние,Термин воздействия относящийся к причине и следствию,,B1,hard,3
22,Αιτία,e-TÍ-a,Cause,Reason term necessary for explanations,,Ursache,Grund-Begriff notwendig für Erklärungen,,Causa,Término de razón necesario para explicaciones,,Причина,Термин основания необходимый для объяснений,,B1,medium,4
23,Συνέπεια,si-NÉ-pi-a,Consequence,Result term important for understanding effects,,Folge,Folge-Begriff wichtig zum Verstehen von Auswirkungen,,Consecuencia,Término de resultado importante para entender efectos,,Последствие,Термин результата важный для понимания эффектов,,B1,hard,3
24,Δυνατότητα,dhi-na-TÓ-ti-ta,Possibility,Potential term used in planning,,Möglichkeit,Potenzial-Begriff bei Planung verwendet,,Posibilidad,Término de potencial usado en planificación,,Возможность,Термин потенциала используется в планировании,,B1,medium,4
25,Πιθανότητα,pi-tha-NÓ-ti-ta,Probability,Likelihood term relevant for predictions,,Wahrscheinlichkeit,Wahrscheinlichkeits-Begriff relevant für Vorhersagen,,Probabilidad,Término de probabilidad relevante para predicciones,,Вероятность,Термин вероятности относящийся к прогнозам,,B1,hard,2
