type,english,greek,phonetic,example_en,example_gr,level,difficulty,audio_url
vocabulary,Hello,Γεια σου,YAH-soo,Hello friend,Γεια σου φίλε,A1,easy,
vocabulary,Goodbye,Αντίο,an-DEE-o,Goodbye everyone,Αντίο σε όλους,A1,easy,
vocabulary,Thank you,Ευχαριστώ,ef-kha-ree-STOH,Thank you very much,Ευχαριστώ πολύ,A1,easy,
vocabulary,Please,Παρακαλώ,pa-ra-ka-LOH,Please help me,Παρακαλώ βοηθήστε με,A1,easy,
vocabulary,Yes,Ναι,neh,Yes please,Ναι παρακαλώ,A1,easy,
vocabulary,No,Όχι,OH-khee,No thank you,Όχι ευχαριστώ,A1,easy,
vocabulary,Good morning,Καλημέρα,ka-lee-MEH-ra,Good morning teacher,Καλημέρα δάσκαλε,A1,easy,
vocabulary,Good evening,Καλησπέρα,ka-lee-SPEH-ra,Good evening friends,Καλησπέρα φίλοι,A1,easy,
vocabulary,Good night,Καληνύχτα,ka-lee-NEEKH-ta,Good night mother,Καληνύχτα μαμά,A1,easy,
vocabulary,Excuse me,Συγγνώμη,see-GNOH-mee,Excuse me sir,Συγγνώμη κύριε,A1,easy,
vocabulary,Water,Νερό,neh-ROH,I want water,Θέλω νερό,A1,easy,
vocabulary,Bread,Ψωμί,pso-MEE,Fresh bread,Φρέσκο ψωμί,A1,easy,
vocabulary,Wine,Κρασί,kra-SEE,Red wine,Κόκκινο κρασί,A1,easy,
vocabulary,Coffee,Καφές,ka-FES,Greek coffee,Ελληνικός καφές,A1,easy,
vocabulary,Tea,Τσάι,TSAH-ee,Hot tea,Ζεστό τσάι,A1,easy,
vocabulary,Beer,Μπίρα,BEE-ra,Cold beer,Κρύα μπίρα,A1,easy,
vocabulary,Milk,Γάλα,GHA-la,Fresh milk,Φρέσκο γάλα,A1,easy,
vocabulary,Cheese,Τυρί,tee-REE,Feta cheese,Φέτα τυρί,A1,easy,
vocabulary,Meat,Κρέας,KREH-as,Grilled meat,Ψητό κρέας,A1,medium,
vocabulary,Fish,Ψάρι,PSAH-ree,Fresh fish,Φρέσκο ψάρι,A1,medium,
vocabulary,Chicken,Κοτόπουλο,ko-TOH-poo-lo,Roasted chicken,Ψητό κοτόπουλο,A1,medium,
vocabulary,Egg,Αυγό,av-GHOH,Boiled egg,Βραστό αυγό,A1,easy,
vocabulary,Fruit,Φρούτο,FROO-to,Fresh fruit,Φρέσκα φρούτα,A1,easy,
vocabulary,Apple,Μήλο,MEE-lo,Red apple,Κόκκινο μήλο,A1,easy,
vocabulary,Orange,Πορτοκάλι,por-to-KAH-lee,Sweet orange,Γλυκό πορτοκάλι,A1,easy,
vocabulary,Tomato,Ντομάτα,do-MAH-ta,Ripe tomato,Ώριμη ντομάτα,A1,easy,
vocabulary,Olive,Ελιά,el-YAH,Green olive,Πράσινη ελιά,A1,easy,
vocabulary,Salt,Αλάτι,a-LAH-tee,Sea salt,Θαλασσινό αλάτι,A1,easy,
vocabulary,Sugar,Ζάχαρη,ZAH-kha-ree,White sugar,Λευκή ζάχαρη,A1,easy,
vocabulary,One,Ένα,EH-na,One person,Ένα άτομο,A1,easy,
vocabulary,Two,Δύο,THEE-o,Two people,Δύο άτομα,A1,easy,
vocabulary,Three,Τρία,TREE-a,Three days,Τρεις μέρες,A1,easy,
vocabulary,Four,Τέσσερα,TEH-seh-ra,Four weeks,Τέσσερις εβδομάδες,A1,easy,
vocabulary,Five,Πέντε,PEN-deh,Five euros,Πέντε ευρώ,A1,easy,
vocabulary,Six,Έξι,EH-ksee,Six hours,Έξι ώρες,A1,medium,
vocabulary,Seven,Επτά,ep-TAH,Seven days,Επτά μέρες,A1,medium,
vocabulary,Eight,Οκτώ,ok-TOH,Eight people,Οκτώ άτομα,A1,medium,
vocabulary,Nine,Εννιά,en-YAH,Nine o'clock,Εννιά η ώρα,A1,medium,
vocabulary,Ten,Δέκα,THEH-ka,Ten minutes,Δέκα λεπτά,A1,easy,
vocabulary,Red,Κόκκινο,KOH-kee-no,Red color,Κόκκινο χρώμα,A1,easy,
vocabulary,Blue,Μπλε,bleh,Blue sky,Μπλε ουρανός,A1,easy,
vocabulary,Green,Πράσινο,PRAH-see-no,Green tree,Πράσινο δέντρο,A1,easy,
vocabulary,Yellow,Κίτρινο,KEE-tree-no,Yellow sun,Κίτρινος ήλιος,A1,easy,
vocabulary,White,Άσπρο,AH-spro,White house,Άσπρο σπίτι,A1,easy,
vocabulary,Black,Μαύρο,MAV-ro,Black cat,Μαύρη γάτα,A1,easy,
vocabulary,Mother,Μητέρα,mee-TEH-ra,My mother,Η μητέρα μου,A1,easy,
vocabulary,Father,Πατέρας,pa-TEH-ras,My father,Ο πατέρας μου,A1,easy,
vocabulary,Brother,Αδελφός,a-thel-FOHS,My brother,Ο αδελφός μου,A1,easy,
vocabulary,Sister,Αδελφή,a-thel-FEE,My sister,Η αδελφή μου,A1,easy,
vocabulary,Son,Γιος,yos,My son,Ο γιος μου,A1,easy,
vocabulary,Daughter,Κόρη,KOH-ree,My daughter,Η κόρη μου,A1,easy,
vocabulary,Child,Παιδί,peh-THEE,Small child,Μικρό παιδί,A1,easy,
vocabulary,Man,Άνδρας,AN-thras,Young man,Νέος άντρας,A1,easy,
vocabulary,Woman,Γυναίκα,yee-NEH-ka,Young woman,Νέα γυναίκα,A1,easy,
vocabulary,Boy,Αγόρι,a-GHOR-ee,Little boy,Μικρό αγόρι,A1,easy,
vocabulary,Girl,Κορίτσι,ko-REE-tsee,Little girl,Μικρό κορίτσι,A1,easy,
vocabulary,Friend,Φίλος,FEE-los,Good friend,Καλός φίλος,A1,easy,
vocabulary,Head,Κεφάλι,keh-FAH-lee,My head,Το κεφάλι μου,A1,easy,
vocabulary,Eye,Μάτι,MAH-tee,Blue eye,Μπλε μάτι,A1,easy,
vocabulary,Ear,Αυτί,af-TEE,Left ear,Αριστερό αυτί,A1,medium,
vocabulary,Nose,Μύτη,MEE-tee,Small nose,Μικρή μύτη,A1,easy,
vocabulary,Mouth,Στόμα,STOH-ma,Open mouth,Ανοιχτό στόμα,A1,easy,
vocabulary,Hand,Χέρι,KHEH-ree,Right hand,Δεξί χέρι,A1,easy,
vocabulary,Foot,Πόδι,POH-thee,Left foot,Αριστερό πόδι,A1,easy,
vocabulary,Today,Σήμερα,SEE-meh-ra,Today is Monday,Σήμερα είναι Δευτέρα,A1,easy,
vocabulary,Tomorrow,Αύριο,AV-ree-o,Tomorrow morning,Αύριο το πρωί,A1,easy,
vocabulary,Yesterday,Χθες,khthes,Yesterday evening,Χθες το βράδυ,A1,medium,
