nr,greek_transcription,greek_phonetic,en_translation,en_importance_reason,en_audio_url,de_translation,de_importance_reason,de_audio_url,es_translation,es_importance_reason,es_audio_url,ru_translation,ru_importance_reason,ru_audio_url,level,difficulty,frequency
1,Γεια σου,yá su,Hello,Essential greeting used daily in informal settings,,Hallo,Grundlegende Begrüßung für informelle Situationen,,Hola,Saludo básico usado diariamente en contextos informales,,Привет,Основное приветствие для неформальных ситуаций,,A1,easy,5
2,Ευχαριστώ,ef-cha-ri-STÓ,Thank you,Expression of gratitude essential in any situation,,Danke,Ausdruck der Dankbarkeit notwendig in jeder Situation,,Gracias,Expresión de gratitud esencial en cualquier situación,,Спасибо,Выражение благодарности необходимое в любой ситуации,,A1,easy,5
3,Νερό,ne-RÓ,Water,Basic word for daily needs especially in hot climate,,Wasser,Grundlegendes Wort für tägliche Bedürfnisse besonders im heißen Klima,,Agua,Palabra básica para necesidades diarias especialmente en clima caluroso,,Вода,Базовое слово для повседневных нужд особенно в жарком климате,,A1,easy,5
4,Ναι,ne,Yes,Core affirmation word used constantly in conversations,,Ja,Grundwort für Zustimmung ständig in Gesprächen verwendet,,Sí,Palabra básica de afirmación usada constantemente en conversaciones,,Да,Основное слово согласия используется постоянно в разговорах,,A1,easy,5
5,Όχι,ó-chi,No,Most common negation essential for basic communication,,Nein,Häufigste Verneinung notwendig für grundlegende Kommunikation,,No,Negación más común esencial para comunicación básica,,Нет,Самое частое отрицание необходимое для базового общения,,A1,easy,5
6,Παρακαλώ,pa-ra-ka-LÓ,Please,Polite request word fundamental for courtesy,,Bitte,Höfliches Bitte-Wort grundlegend für Höflichkeit,,Por favor,Palabra de cortesía fundamental para solicitudes educadas,,Пожалуйста,Вежливое слово для просьбы основа вежливости,,A1,easy,5
7,Καλημέρα,ka-li-MÉ-ra,Good morning,Standard morning greeting used until noon,,Guten Morgen,Standardbegrüßung am Morgen bis Mittag verwendet,,Buenos días,Saludo matutino estándar usado hasta el mediodía,,Доброе утро,Стандартное утреннее приветствие используется до полудня,,A1,easy,5
8,Καλησπέρα,ka-li-SPÉ-ra,Good evening,Evening greeting used from afternoon onwards,,Guten Abend,Abendbegrüßung ab Nachmittag verwendet,,Buenas tardes,Saludo vespertino usado desde la tarde,,Добрый вечер,Вечернее приветствие используется с полудня,,A1,easy,4
9,Καληνύχτα,ka-li-NÍ-chta,Good night,Farewell greeting used when leaving at night,,Gute Nacht,Abschiedsgruß beim Gehen in der Nacht verwendet,,Buenas noches,Saludo de despedida usado al irse por la noche,,Спокойной ночи,Прощальное приветствие при уходе ночью,,A1,easy,4
10,Αντίο,a-dí-o,Goodbye,Basic farewell used when parting,,Auf Wiedersehen,Grundlegender Abschied beim Verabschieden verwendet,,Adiós,Despedida básica usada al separarse,,До свидания,Основное прощание при расставании,,A1,easy,5
11,Ένα,é-na,One,First number essential for counting and ordering,,Eins,Erste Zahl notwendig zum Zählen und Bestellen,,Uno,Primer número esencial para contar y ordenar,,Один,Первое число необходимое для счета и заказа,,A1,easy,5
12,Δύο,dhí-o,Two,Second number fundamental for basic math,,Zwei,Zweite Zahl grundlegend für einfache Mathematik,,Dos,Segundo número fundamental para matemática básica,,Два,Второе число основа для базовой математики,,A1,easy,5
13,Τρία,trí-a,Three,Third number used frequently in daily life,,Drei,Dritte Zahl häufig im täglichen Leben verwendet,,Tres,Tercer número usado frecuentemente en la vida diaria,,Три,Третье число часто используется в повседневной жизни,,A1,easy,5
14,Τέσσερα,té-se-ra,Four,Fourth number important for counting objects,,Vier,Vierte Zahl wichtig zum Zählen von Objekten,,Cuatro,Cuarto número importante para contar objetos,,Четыре,Четвертое число важное для подсчета предметов,,A1,medium,4
15,Πέντε,pé-de,Five,Fifth number commonly used in time and money,,Fünf,Fünfte Zahl häufig bei Zeit und Geld verwendet,,Cinco,Quinto número comúnmente usado en tiempo y dinero,,Пять,Пятое число часто используется во времени и деньгах,,A1,medium,4
16,Ψωμί,pso-MÍ,Bread,Staple food word essential for grocery shopping,,Brot,Grundnahrungs-Wort notwendig beim Lebensmitteleinkauf,,Pan,Palabra de alimento básico esencial para compras,,Хлеб,Слово основного продукта необходимое для покупок,,A1,easy,5
17,Καφές,ka-FÉS,Coffee,Common beverage word used daily in cafes,,Kaffee,Häufiges Getränke-Wort täglich in Cafés verwendet,,Café,Palabra de bebida común usada diariamente en cafeterías,,Кофе,Слово обычного напитка используется ежедневно в кафе,,A1,easy,5
18,Τσάι,tsáï,Tea,Popular beverage alternative to coffee,,Tee,Beliebte Getränke-Alternative zu Kaffee,,Té,Alternativa de bebida popular al café,,Чай,Популярная альтернатива напитка кофе,,A1,easy,4
19,Γάλα,ghá-la,Milk,Basic dairy product used in breakfast,,Milch,Grundlegendes Milchprodukt beim Frühstück verwendet,,Leche,Producto lácteo básico usado en el desayuno,,Молоко,Основной молочный продукт используется на завтрак,,A1,easy,4
20,Τυρί,ti-RÍ,Cheese,Common food item essential for snacks,,Käse,Häufiges Lebensmittel notwendig für Snacks,,Queso,Alimento común esencial para bocadillos,,Сыр,Обычный продукт необходимый для закусок,,A1,easy,4
21,Σπίτι,spí-ti,House,Basic shelter word used constantly in conversations,,Haus,Grundlegendes Unterkunfts-Wort ständig in Gesprächen verwendet,,Casa,Palabra de refugio básico usada constantemente en conversaciones,,Дом,Основное слово жилища постоянно используется в разговорах,,A1,easy,5
