Nr;Type;Griechisch (Transkription);Lautschrift (Griechisch);Englische Übersetzung;Wichtigkeit (Begründung) in Englisch;Audio URL (Englisch);Deutsche Übersetzung;Wichtigkeit (Begründung) in Deutsch;Audio URL (Deutsch);Spanische Übersetzung;Wichtigkeit (Begründung) in Spanisch;Audio URL (Spanisch);Russische Übersetzung;Wichtigkeit (Begründung) in Russisch;Audio URL (Russisch);Level;Difficulty;Häufigkeit (1-5)
1;vocabulary;καλησπέρα;kalispera;good evening;evening greeting;https://example.com/audio/kalispera_en.mp3;guten Abend;abendliche Begrüßung;https://example.com/audio/kalispera_de.mp3;buenas noches;saludo nocturno;https://example.com/audio/kalispera_es.mp3;добрый вечер;вечернее приветствие;https://example.com/audio/kalispera_ru.mp3;A2;easy;5
2;vocabulary;πόσο κοστίζει?;póso kostízei?;how much is it?;common shopping question;https://example.com/audio/poso_kostizei_en.mp3;wie viel kostet das?;häufig im Einkauf;https://example.com/audio/poso_kostizei_de.mp3;¿cuánto cuesta?;pregunta habitual en compras;https://example.com/audio/poso_kostizei_es.mp3;сколько стоит?;часто в магазинах;https://example.com/audio/poso_kostizei_ru.mp3;A2;easy;5
3;vocabulary;θέλω ένα καφέ;thélo éna kafé;I want a coffee;daily order;https://example.com/audio/thelo_kafe_en.mp3;ich möchte einen Kaffee;tägliche Bestellung;https://example.com/audio/thelo_kafe_de.mp3;quiero un café;pedido diario;https://example.com/audio/thelo_kafe_es.mp3;хочу кофе;ежедневный заказ;https://example.com/audio/thelo_kafe_ru.mp3;A2;medium;4
4;vocabulary;πού είναι το ξενοδοχείο?;poú eínai to xenodocheío?;where is the hotel?;essential for travelers;https://example.com/audio/pou_einai_en.mp3;wo ist das Hotel?;wichtig für Reisende;https://example.com/audio/pou_einai_de.mp3;¿dónde está el hotel?;importante para turistas;https://example.com/audio/pou_einai_es.mp3;где отель?;важно для туристов;https://example.com/audio/pou_einai_ru.mp3;A2;medium;4
5;vocabulary;συγγνώμη;signómi;sorry;polite apology;https://example.com/audio/signomi_en.mp3;Entschuldigung;höfliche Entschuldigung;https://example.com/audio/signomi_de.mp3;perdón;disculpa educada;https://example.com/audio/signomi_es.mp3;извините;для вежливости;https://example.com/audio/signomi_ru.mp3;A2;easy;5
6;vocabulary;καταλαβαίνω;katalavaíno;I understand;useful in conversation;https://example.com/audio/katalavaino_en.mp3;ich verstehe;nützlich im Gespräch;https://example.com/audio/katalavaino_de.mp3;entiendo;útil en conversación;https://example.com/audio/katalavaino_es.mp3;понимаю;полезно в разговоре;https://example.com/audio/katalavaino_ru.mp3;A2;hard;3
7;vocabulary;δεν καταλαβαίνω;den katalavaíno;I don't understand;key for learning;https://example.com/audio/den_katalavaino_en.mp3;ich verstehe nicht;wichtig beim Lernen;https://example.com/audio/den_katalavaino_de.mp3;no entiendo;clave para aprender;https://example.com/audio/den_katalavaino_es.mp3;не понимаю;самое важное в обучении;https://example.com/audio/den_katalavaino_ru.mp3;A2;hard;4
8;vocabulary;αύριο;ávrio;tomorrow;common time word;https://example.com/audio/avrio_en.mp3;morgen;häufiges Zeitwort;https://example.com/audio/avrio_de.mp3;mañana;palabra común de tiempo;https://example.com/audio/avrio_es.mp3;завтра;часто используется;https://example.com/audio/avrio_ru.mp3;A2;medium;4
9;vocabulary;χθες;chtés;yesterday;for storytelling;https://example.com/audio/chtes_en.mp3;gestern;für Erzählungen;https://example.com/audio/chtes_de.mp3;ayer;para narrar;https://example.com/audio/chtes_es.mp3;вчера;для повествованияombre;https://example.com/audio/chtes_ru.mp3;A2;medium;3
10;vocabulary;οικογένεια;oikogéneia;family;important topic;https://example.com/audio/oikogeneia_en.mp3;Familie;wichtiges Thema;https://example.com/audio/oikogeneia_de.mp3;familia;tema importante;https://example.com/audio/oikogeneia_es.mp3;семья;важная тема;https://example.com/audio/oikogeneia_ru.mp3;A2;easy;4
