Nr.,Griechisch (Transkription),Lautschrift (Griechisch),Russische Übersetzung,Wichtigkeit (Begründung) in Russisch,Audio in russisch,Englische Übersetzung,Wichtigkeit (Begründung)in Englisch,Audio in englisch,Spanische Übersetzung,Wichtigkeit (Begründung)in Spanisch,Audio in Spanisch,Deutsche Übersetzung,Wichtigkeit (Begründung)in Deutsch,Audio in deutsch,Level A1,difficulty (easy/middle/hard),Häufigkeit im täglichen Gebrauch (1,2,3,4,5)
1,γεια σου,gia sou,привет,самое важное приветствие при встрече,,hello,basic everyday greeting,,hola,saludo más común,,hallo,wichtigste Begrüßung,,A1,easy,5
2,ευχαριστώ,efcharistó,спасибо,обязательно для вежливости,,thank you,essential politeness,,gracias,básico para ser educado,,danke,Grund der Höflichkeit,,A1,easy,5
3,καλημέρα,kaliméra,доброе утро,стандартное утреннее приветствие,,good morning,standard morning greeting,,buenos días,saludo matutino habitual,,guten Morgen,morgendliche Standardbegrüßung,,A1,middle,4
4,νερό,neró,вода,жизненно важное слово,,water,basic survival word,,agua,palabra esencial de supervivencia,,Wasser,elementares Überlebenswort,,A1,hard,5
5,βιβλίο,vivlío,книга,важно для учебы и отдыха,,book,important for study and leisure,,libro,esencial para estudio y ocio,,Buch,wichtig für Lernen und Freizeit,,A2,middle,3
6,ναι,ne,да,основное слово согласия,,yes,core affirmation word,,sí,palabra básica de afirmación,,ja,Grundwort für Zustimmung,,A1,easy,5
7,όχι,óchi,нет,самое частое отрицание,,no,most common negation,,no,negación más común,,nein,häufigste Verneinung,,A1,easy,5
8,ένα,éna,один,базовое числительное,,one,basic number,,uno,número básico,,eins,Grundzahl,,A1,middle,4
9,σπίτι,spíti,дом,ежедневно используемое слово,,house,daily essential,,casa,palabra diaria esencial,,Haus,tägliches Grundwort,,A1,hard,5
10,φίλος,fílos,друг,важно для общения,,friend,important for social interaction,,amigo,importante para interacción social,,Freund,wichtig für soziale Kontakte,,A2,easy,4
