Nr.,Griechisch (Transkription),Lautschrift (Griechisch),Russische Übersetzung,Wichtigkeit (Begründung) in Russisch,Audio in russisch,Englische Übersetzung,Wichtigkeit (Begründung)in Englisch,Audio in englisch,Spanische Übersetzung,Wichtigkeit (Begründung)in Spanisch,Audio in Spanisch,Deutsche Übersetzung,Wichtigkeit (Begründung)in Deutsch,Audio in deutsch,Level A2,difficulty (easy/middle/hard),Häufigkeit im täglichen Gebrauch (1,2,3,4,5)
1,καλησπέρα,kalispera,добрый вечер,вечернее приветствие,,good evening,evening greeting,,buenas noches,saludo nocturno,,guten Abend,abendliche Begrüßung,,A2,easy,5
2,πόσο κοστίζει?,póso kostízei?,сколько стоит?,часто в магазинах,,how much is it?,common shopping question,,¿cuánto cuesta?,pregunta habitual en compras,,wie viel kostet das?,häufig im Einkauf,,A2,easy,5
3,θέλω ένα καφέ,thélo éna kafé,хочу кофе,ежедневный заказ,,I want a coffee,daily order,,quiero un café,pedido diario,,ich möchte einen Kaffee,täglicher Bestellung,,A2,middle,4
4,πού είναι το ξενοδοχείο?,poú eínai to xenodocheío?,где отель?,важно для туристов,,where is the hotel?,essential for travelers,,¿dónde está el hotel?,importante para turistas,,wo ist das Hotel?,wichtig für Reisende,,A2,middle,4
5,συγγνώμη,signómi,извините,для вежливости,,sorry,polite apology,,perdón,disculpa educada,,Entschuldigung,höfliche Entschuldigung,,A2,easy,5
6,καταλαβαίνω,katalavaíno,понимаю,полезно в разговоре,,I understand,useful in conversation,,entiendo,útil en conversación,,ich verstehe,nützlich im Gespräch,,A2,hard,3
7,δεν καταλαβαίνω,den katalavaíno,не понимаю,самое важное в обучении,,I don't understand,key for learning,,no entiendo,clave para aprender,,ich verstehe nicht,wichtig beim Lernen,,A2,hard,4
8,αύριο,ávrio,завтра,часто используется,,tomorrow,common time word,,mañana,palabra común de tiempo,,morgen,häufiges Zeitwort,,A2,middle,4
9,χθες,chtés,вчера,для повествования,,yesterday,for storytelling,,ayer,para narrar,,gestern,für Erzählungen,,A2,middle,3
10,οικογένεια,oikogéneia,семья,важная тема,,family,important topic,,familia,tema importante,,Familie,wichtiges Thema,,A2,easy,4
